t_interval,u1,u2,dt_interval
0.0,-9.999659175494401e-09,-1.000000009995495,1.1203243327610353
1.1203243327610353,-9.999615792904036e-09,-1.000000009995495,1.1203243327610353
2.2406486655220705,-9.999561382926072e-09,-1.000000009995495,1.1203243327610353
3.360972998283106,-9.999491988924904e-09,-1.000000009995495,1.1203243327610353
4.481297331044141,-9.999401667066523e-09,-1.000000009995495,1.1203243327610353
5.601621663805176,-9.999281141722195e-09,-1.000000009995495,1.1203243327610353
6.721945996566212,-9.999115245969725e-09,-1.000000009995495,1.1203243327610353
7.842270329327247,-9.998877680600887e-09,-1.000000009995495,1.1203243327610353
8.962594662088282,-9.998519227943663e-09,-1.000000009995495,1.1203243327610353
10.082918994849317,-9.997937698159159e-09,-1.000000009995495,1.1203243327610353
11.203243327610352,-9.996886237456234e-09,-1.000000009995495,1.1203243327610353
12.323567660371388,-9.994601746608802e-09,-1.000000009995495,1.1203243327610353
13.443891993132423,-9.987181959192651e-09,-1.000000009995495,1.1203243327610353
14.564216325893458,0.8104020812310718,-1.0000000099946067,1.1203243327610353
15.684540658654495,1.0000000099794164,-1.000000009991388,1.1203243327610353
16.804864991415528,1.0000000099852355,-1.0000000099828972,1.1203243327610353
17.925189324176564,1.0000000099826698,-1.0000000099508883,1.1203243327610353
19.0455136569376,1.0000000099324813,-0.0812628193494197,1.1203243327610353
20.165837989698634,-9.978211240195276e-09,1.0000000098363155,1.1203243327610353
21.28616232245967,-9.9903792589827e-09,1.0000000098363155,1.1203243327610353
22.406486655220704,-9.993415930998816e-09,1.0000000098363155,1.1203243327610353
23.52681098798174,-9.994707304254233e-09,1.0000000098363155,1.1203243327610353
24.647135320742777,-9.995338583713659e-09,1.0000000098363155,1.1203243327610353
25.76745965350381,-9.995618795333806e-09,1.0000000098363155,1.1203243327610353
26.887783986264846,-9.995650310257432e-09,1.0000000098363155,1.1203243327610353
28.008108319025883,-9.995443906986772e-09,1.0000000098363155,1.1203243327610353
29.128432651786916,-9.994928965838845e-09,1.0000000098363155,1.1203243327610353
30.248756984547953,-9.99388117828048e-09,1.0000000098363155,1.1203243327610353
31.36908131730899,-9.99158007713375e-09,1.0000000098363155,1.1203243327610353
32.489405650070026,-9.984369262330895e-09,1.0000000098363155,1.1203243327610353
33.609729982831055,0.6019528500629966,1.0000000097923327,1.1203243327610353
34.73005431559209,1.0000000099861308,1.0000000094986934,1.1203243327610353
35.85037864835313,1.0000000099933826,0.9999999850932421,1.1203243327610353
36.970702981114165,1.0000000099957613,0.605545386539111,1.1203243327610353
38.0910273138752,1.0000000099969328,0.702251741059594,1.1203243327610353
39.21135164663623,1.0000000099976234,0.30963037948199384,1.1203243327610353
40.33167597939727,1.0000000099980488,-1.0000000098086261,1.1203243327610353
41.452000312158304,1.0000000099982769,-1.0000000099641533,1.1203243327610353
42.57232464491934,1.0000000099983855,-1.0000000099860615,1.1203243327610353
43.69264897768038,1.0000000099984083,-1.0000000099927318,1.1203243327610353
